lambda,auc,gap_pp
5.0,0.7323362803448816,1.711246371269226
2.0,0.7360460002519995,2.283191680908203
1.0,0.7363655435512106,3.0591368675231934
0.5,0.7389865965526321,3.8309245109558105
0.0,0.7398773787143271,6.024641036987305
